Model,Precision,Recall,F1 Score,accuracy
SVM,0.0,0.0,0.0,0.9727722772277227
Random Forest,0.0,0.0,0.0,0.9628712871287128
Logistic Regression,0.5,0.09090909090909091,0.15384615384615385,0.9727722772277227
Voting Classifier,0.0,0.0,0.0,0.9727722772277227
SVM (SMOTE),0.08641975308641975,0.6363636363636364,0.15217391304347827,0.806930693069307
Random Forest (SMOTE),0.14285714285714285,0.09090909090909091,0.1111111111111111,0.9603960396039604
Logistic Regression (SMOTE),0.06153846153846154,0.36363636363636365,0.10526315789473684,0.8316831683168316
Voting Classifier (SMOTE),0.08064516129032258,0.45454545454545453,0.136986301369863,0.844059405940594
SVM (SMOTE RFECV),0.08433734939759036,0.6363636363636364,0.14893617021276595,0.801980198019802
Random Forest (SMOTE RFECV),0.14285714285714285,0.09090909090909091,0.1111111111111111,0.9603960396039604
Logistic Regression (SMOTE RFECV),0.08,0.5454545454545454,0.13953488372093023,0.8168316831683168
Voting Classifier (SMOTE RFECV),0.08333333333333333,0.5454545454545454,0.14457831325301204,0.8242574257425742
SVM (SMOTE IG),0.06097560975609756,0.45454545454545453,0.10752688172043011,0.7945544554455446
Random Forest (SMOTE IG),0.1111111111111111,0.09090909090909091,0.1,0.9554455445544554
Logistic Regression (SMOTE IG),0.08695652173913043,0.5454545454545454,0.15,0.8316831683168316
Voting Classifier (SMOTE IG),0.08064516129032258,0.45454545454545453,0.136986301369863,0.844059405940594
