Model,Precision,Recall,F1 Score,accuracy
SVM,0.8695652173913043,0.1941747572815534,0.31746031746031744,0.7650273224043715
Random Forest,0.6417910447761194,0.4174757281553398,0.5058823529411764,0.7704918032786885
Logistic Regression,0.6956521739130435,0.3106796116504854,0.42953020134228187,0.76775956284153
Voting Classifier,0.7692307692307693,0.2912621359223301,0.4225352112676056,0.7759562841530054
SVM (SMOTE),0.4523809523809524,0.7378640776699029,0.5608856088560885,0.674863387978142
Random Forest (SMOTE),0.5769230769230769,0.5825242718446602,0.5797101449275363,0.7622950819672131
Logistic Regression (SMOTE),0.4472049689440994,0.6990291262135923,0.5454545454545454,0.6721311475409836
Voting Classifier (SMOTE),0.4506172839506173,0.7087378640776699,0.5509433962264151,0.674863387978142
SVM (SMOTE RFECV),0.48031496062992124,0.5922330097087378,0.5304347826086957,0.7049180327868853
Random Forest (SMOTE RFECV),0.6,0.5825242718446602,0.5911330049261084,0.773224043715847
Logistic Regression (SMOTE RFECV),0.47761194029850745,0.6213592233009708,0.540084388185654,0.7021857923497268
Voting Classifier (SMOTE RFECV),0.48412698412698413,0.5922330097087378,0.5327510917030568,0.7076502732240437
SVM (SMOTE IG),0.4198895027624309,0.7378640776699029,0.5352112676056338,0.639344262295082
Random Forest (SMOTE IG),0.5346534653465347,0.5242718446601942,0.5294117647058824,0.7377049180327869
Logistic Regression (SMOTE IG),0.43352601156069365,0.7281553398058253,0.5434782608695652,0.6557377049180327
Voting Classifier (SMOTE IG),0.436046511627907,0.7281553398058253,0.5454545454545454,0.6584699453551912
