Model,Precision,Recall,F1 Score,accuracy
SVM,0.2,0.125,0.15384615384615385,0.8333333333333334
Random Forest,0.0,0.0,0.0,0.8636363636363636
Logistic Regression,0.2,0.125,0.15384615384615385,0.8333333333333334
Voting Classifier,0.25,0.125,0.16666666666666666,0.8484848484848485
SVM (SMOTE),0.10526315789473684,0.25,0.14814814814814814,0.6515151515151515
Random Forest (SMOTE),0.125,0.125,0.125,0.7878787878787878
Logistic Regression (SMOTE),0.10526315789473684,0.25,0.14814814814814814,0.6515151515151515
Voting Classifier (SMOTE),0.11764705882352941,0.25,0.16,0.6818181818181818
SVM (SMOTE RFECV),0.1,0.25,0.14285714285714285,0.6363636363636364
Random Forest (SMOTE RFECV),0.14285714285714285,0.125,0.13333333333333333,0.803030303030303
Logistic Regression (SMOTE RFECV),0.1,0.25,0.14285714285714285,0.6363636363636364
Voting Classifier (SMOTE RFECV),0.1111111111111111,0.25,0.15384615384615385,0.6666666666666666
SVM (SMOTE IG),0.17391304347826086,0.5,0.25806451612903225,0.6515151515151515
Random Forest (SMOTE IG),0.0,0.0,0.0,0.696969696969697
Logistic Regression (SMOTE IG),0.18181818181818182,0.5,0.26666666666666666,0.6666666666666666
Voting Classifier (SMOTE IG),0.18181818181818182,0.5,0.26666666666666666,0.6666666666666666
