Model,Precision,Recall,F1 Score,accuracy
SVM,0.0,0.0,0.0,0.90625
Random Forest,0.3333333333333333,0.07407407407407407,0.12121212121212122,0.8993055555555556
Logistic Regression,0.5333333333333333,0.2962962962962963,0.38095238095238093,0.9097222222222222
Voting Classifier,0.5,0.037037037037037035,0.06896551724137931,0.90625
SVM (SMOT),0.2289156626506024,0.7037037037037037,0.34545454545454546,0.75
Random Forest (SMOT),0.24324324324324326,0.3333333333333333,0.28125,0.8402777777777778
Logistic Regression (SMOT),0.25,0.7407407407407407,0.37383177570093457,0.7673611111111112
Voting Classifier (SMOT),0.24675324675324675,0.7037037037037037,0.36538461538461536,0.7708333333333334
SVM (SMOT RFECV),0.25,0.7777777777777778,0.3783783783783784,0.7604166666666666
Random Forest (SMOT RFECV),0.2631578947368421,0.37037037037037035,0.3076923076923077,0.84375
Logistic Regression (SMOT RFECV),0.24691358024691357,0.7407407407407407,0.37037037037037035,0.7638888888888888
Voting Classifier (SMOT RFECV),0.26666666666666666,0.7407407407407407,0.39215686274509803,0.7847222222222222
SVM (SMOT Chi2),0.23943661971830985,0.6296296296296297,0.3469387755102041,0.7777777777777778
Random Forest (SMOT Chi2),0.3125,0.37037037037037035,0.3389830508474576,0.8645833333333334
Logistic Regression (SMOT Chi2),0.2236842105263158,0.6296296296296297,0.3300970873786408,0.7604166666666666
Voting Classifier (SMOT Chi2),0.2463768115942029,0.6296296296296297,0.3541666666666667,0.7847222222222222
