Model,Precision,Recall,F1 Score,accuracy
SVM,0.7,0.6363636363636364,0.6666666666666666,0.7083333333333334
Random Forest,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.8333333333333334
Logistic Regression,0.7777777777777778,0.6363636363636364,0.7,0.75
Voting Classifier,0.7,0.6363636363636364,0.6666666666666666,0.7083333333333334
SVM (SMOTE),0.7,0.6363636363636364,0.6666666666666666,0.7083333333333334
Random Forest (SMOTE),0.75,0.8181818181818182,0.782608695652174,0.7916666666666666
Logistic Regression (SMOTE),0.7777777777777778,0.6363636363636364,0.7,0.75
Voting Classifier (SMOTE),0.7,0.6363636363636364,0.6666666666666666,0.7083333333333334
SVM (SMOTE RFECV),0.75,0.8181818181818182,0.782608695652174,0.7916666666666666
Random Forest (SMOTE RFECV),0.8333333333333334,0.9090909090909091,0.8695652173913043,0.875
Logistic Regression (SMOTE RFECV),0.8,0.7272727272727273,0.7619047619047619,0.7916666666666666
Voting Classifier (SMOTE RFECV),0.9,0.8181818181818182,0.8571428571428571,0.875
SVM (SMOTE IG),0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6666666666666666
Random Forest (SMOTE IG),0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8333333333333334
Logistic Regression (SMOTE IG),0.75,0.5454545454545454,0.631578947368421,0.7083333333333334
Voting Classifier (SMOTE IG),0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6666666666666666
