Model,Precision,Recall,F1 Score,accuracy
SVM,0.6666666666666666,0.2,0.3076923076923077,0.9533678756476683
Random Forest,0.5,0.1,0.16666666666666666,0.9481865284974094
Logistic Regression,0.5,0.3,0.375,0.9481865284974094
Voting Classifier,0.6666666666666666,0.2,0.3076923076923077,0.9533678756476683
SVM (SMOTE),0.2,0.8,0.32,0.8238341968911918
Random Forest (SMOTE),0.3,0.3,0.3,0.927461139896373
Logistic Regression (SMOTE),0.18181818181818182,0.8,0.2962962962962963,0.8031088082901554
Voting Classifier (SMOTE),0.21052631578947367,0.8,0.3333333333333333,0.8341968911917098
SVM (SMOTE RFECV),0.1951219512195122,0.8,0.3137254901960784,0.8186528497409327
Random Forest (SMOTE RFECV),0.36363636363636365,0.4,0.38095238095238093,0.9326424870466321
Logistic Regression (SMOTE RFECV),0.2,0.8,0.32,0.8238341968911918
Voting Classifier (SMOTE RFECV),0.20512820512820512,0.8,0.32653061224489793,0.8290155440414507
SVM (SMOTE IG),0.13793103448275862,0.8,0.23529411764705882,0.7305699481865285
Random Forest (SMOTE IG),0.29411764705882354,0.5,0.37037037037037035,0.9119170984455959
Logistic Regression (SMOTE IG),0.14285714285714285,0.9,0.2465753424657534,0.7150259067357513
Voting Classifier (SMOTE IG),0.14545454545454545,0.8,0.24615384615384617,0.7461139896373057
